Site,Nest,DBH,Ht
TYE,TC,90,32
TYE,TC,106,32
TYE,TC,127,30
TYE,TC,109,26
TYE,TC,94,24
TYE,TC,104,24
TYE,TC,109,24
TYE,TC,84,25
TYE,TC,99,25
TYE,TC,114,25
TYE,TC,134,25
TYE,TC,141,25
TYE,TC,148,25
TYE,TC,150,25
TYE,TC,142,28
TYE,TC,100,27
TYE,TC,127,40
TYE,TC,95,28
TYE,TC,138,27
TYE,TC,119,27
TYE,TC,115,27
TYE,TC,108,27
TYE,TC,108,26
TYE,TC,81,27
TYE,TC,124,26
TYE,TC,115,26
TYE,TC,110,26
TYE,TC,127,28
TYE,TC,114,27
TYE,TC,84,51
TYE,TC,177,49
TYE,TC,180,49
TYE,TC,182,49
TYE,TC,125,50
TYE,TC,135,50
TYE,TC,140,50
TYE,TC,146,50
TYE,TC,150,50
TYE,TC,157,50
TYE,TC,161,50
TYE,TC,170,50
TYE,TC,183,47
TYE,TC,172,50
TYE,TC,156,49
TYE,TC,107,51
TYE,TC,150,51
TYE,TC,153,51
TYE,TC,161,51
TYE,TC,161,51
TYE,TC,170,51
TYE,TC,180,51
TYE,TC,132,52
TYE,TC,152,52
TYE,TC,171,52
TYE,TC,200,52
TYE,TC,213,52
TYE,TC,171,50
TYE,TC,185,48
TYE,TC,189,47
TYE,TC,193,47
TYE,TC,129,48
TYE,TC,130,48
TYE,TC,132,48
TYE,TC,142,48
TYE,TC,144,48
TYE,TC,149,48
TYE,TC,152,48
TYE,TC,159,48
TYE,TC,168,48
TYE,TC,170,48
TYE,TC,159,49
TYE,TC,181,48
TYE,TC,122,40
TYE,TC,190,48
TYE,TC,190,48
TYE,TC,89,49
TYE,TC,104,49
TYE,TC,108,49
TYE,TC,135,49
TYE,TC,137,49
TYE,TC,142,49
TYE,TC,150,49
TYE,TC,152,49
TYE,TC,133,42
TYE,TC,142,53
TYE,TC,178,48
TYE,TC,196,61
TYE,TC,122,53
TYE,TC,165,57
TYE,TC,190,57
TYE,TC,229,57
TYE,TC,147,58
TYE,TC,172,58
TYE,TC,185,59
TYE,TC,202,59
TYE,TC,127,60
TYE,TC,183,60
TYE,TC,191,60
TYE,TC,152,61
TYE,TC,130,57
TYE,TC,175,61
TYE,TC,190,56
TYE,TC,203,61
TYE,TC,140,62
TYE,TC,224,62
TYE,TC,122,63
TYE,TC,243,64
TYE,TC,147,65
TYE,TC,188,65
TYE,TC,170,66
TYE,TC,209,66
TYE,TC,160,67
TYE,TC,246,67
TYE,TC,177,69
TYE,TC,160,61
TYE,TC,168,54
TYE,TC,152,49
TYE,TC,147,53
TYE,TC,149,53
TYE,TC,161,53
TYE,TC,168,53
TYE,TC,173,53
TYE,TC,180,53
TYE,TC,197,53
TYE,TC,199,53
TYE,TC,91,54
TYE,TC,130,54
TYE,TC,134,54
TYE,TC,155,57
TYE,TC,158,54
TYE,TC,138,53
TYE,TC,170,54
TYE,TC,135,55
TYE,TC,146,55
TYE,TC,147,55
TYE,TC,163,55
TYE,TC,164,55
TYE,TC,178,55
TYE,TC,193,55
TYE,TC,196,55
TYE,TC,114,56
TYE,TC,143,56
TYE,TC,171,56
TYE,TC,152,54
TYE,TC,159,43
TYE,TC,155,46
TYE,TC,160,46
TYE,TC,175,46
TYE,TC,185,46
TYE,TC,88,44
TYE,TC,120,47
TYE,TC,160,43
TYE,TC,141,45
TYE,TC,135,44
TYE,TC,142,43
TYE,TC,148,46
TYE,TC,137,45
TYE,TC,142,43
TYE,TC,153,44
TYE,TC,135,46
TYE,TC,135,44
TYE,TC,106,46
TYE,TC,127,44
TYE,TC,117,46
TYE,TC,137,44
TYE,TC,152,46
TYE,TC,180,45
TYE,TC,140,45
TYE,TC,164,45
TYE,TC,137,44
TYE,TC,144,44
TYE,TC,113,44
TYE,TC,147,44
TYE,TC,118,47
TYE,TC,134,46
TYE,TC,135,42
TYE,TC,109,45
TYE,TC,120,47
